                                         The SAS System     11:42 Thursday, November 1, 2001   1

                    Obs     env     rep    block    entry     line     yield

                      1    96AME     1        2        1     K475-1     28.8
                      2    96AME     1        8        2     K478-1     39.4
                      3    96AME     1        3        3     K483-1     34.1
                      4    96AME     1        1        4     K489-1     30.4
                      5    96AME     1        2        5     K490-1     40.5
                      6    96AME     1        7        6     K492-1     32.6
                      7    96AME     1        3        7     K493-1     41.5
                      8    96AME     1       11        8     K498-1     24.7
                      9    96AME     1        6        9     K499-1     22.3
                     10    96AME     1        3       10     K500-1     26.5
                     11    96AME     1        5       11     K505-1     27.7
                     12    96AME     1        2       12     K507-1     43.3
                     13    96AME     1        4       13     K510-1     28.1
                     14    96AME     1        1       14     K528-1     18.5
                     15    96AME     1        7       15     K530-1     20.9
                     16    96AME     1        6       16     K533-1     25.7
                     17    96AME     1       10       17     K535-1     36.0
                     18    96AME     1        7       18     K536-1     30.4
                     19    96AME     1        5       19     K538-1     28.2
                     20    96AME     1        4       20     K546-1     37.1
                     21    96AME     1        1       21     K551-1     26.5
                     22    96AME     1        3       22     K553-1     41.8
                     23    96AME     1        4       23     K555-1     41.3
                     24    96AME     1        3       24     K557-1     32.2
                     25    96AME     1        1       25     K567-1     28.2
                     26    96AME     1       11       26     K569-1     19.1
                     27    96AME     1        6       27     K571-1     38.0
                     28    96AME     1       10       28     K576-1     28.7
                     29    96AME     1        6       29     K577-1     24.8
                     30    96AME     1        7       30     K468-2     20.6
                     31    96AME     1        7       31     K480-2     31.5
                     32    96AME     1        5       32     K487-2     30.0
                     33    96AME     1        3       33     K490-2     22.7
                     34    96AME     1        6       34     K492-2     28.9
                     35    96AME     1        9       35     K494-2     26.3
                     36    96AME     1       12       36     K495-2     34.1
                     37    96AME     1       11       37     K497-2     47.6
                     38    96AME     1        5       38     K498-2     27.3
                     39    96AME     1        6       39     K499-2     37.4
                     40    96AME     1        5       40     K514-2     25.6
                     41    96AME     1        5       41     K507-2     34.2
                     42    96AME     1        9       42     K508-2     39.6
                     43    96AME     1        8       43     K515-2     17.5
                     44    96AME     1        9       44     K573-4     37.2
                     45    96AME     1        1       45     K524-2     27.5
                     46    96AME     1        8       46     K525-2     23.9
                     47    96AME     1       11       47     K534-2     31.9
                     48    96AME     1        2       48     K542-2     20.1
                     49    96AME     1       11       49     K543-2     20.6
                     50    96AME     1        2       50     K555-2     38.0
                                         The SAS System     11:42 Thursday, November 1, 2001   2

                    Obs     env     rep    block    entry     line     yield

                     51    96AME     1        8       51     K561-2     21.7
                     52    96AME     1        1       52     K566-2     15.0
                     53    96AME     1       11       53     K569-2     34.3
                     54    96AME     1        8       54     K573-2     32.2
                     55    96AME     1        3       55     K577-2     32.7
                     56    96AME     1        1       56     K469-3     32.5
                     57    96AME     1        4       57     K471-3     44.1
                     58    96AME     1        7       58     K473-3     29.6
                     59    96AME     1        2       59     K531-4     32.3
                     60    96AME     1        2       60     K487-4     20.9
                     61    96AME     1       10       61     K491-3     26.9
                     62    96AME     1        1       62     K495-3     38.7
                     63    96AME     1        9       63     K501-3     28.2
                     64    96AME     1        3       64     K502-3     27.5
                     65    96AME     1       12       65     K556-4     29.3
                     66    96AME     1       10       66     K513-3     38.7
                     67    96AME     1       11       67     K514-3     17.0
                     68    96AME     1        4       68     K469-4     37.8
                     69    96AME     1        9       69     K524-3     37.1
                     70    96AME     1       11       70     K526-3     22.3
                     71    96AME     1        4       71     K530-3     25.4
                     72    96AME     1        6       72     K531-3     28.0
                     73    96AME     1        7       73     K532-3     21.2
                     74    96AME     1        6       74     K538-3     28.0
                     75    96AME     1       10       75     K544-3     29.6
                     76    96AME     1        6       76     K546-3     29.2
                     77    96AME     1       12       77     K543-4     22.7
                     78    96AME     1       11       78     K550-3     29.2
                     79    96AME     1        8       79     K552-3     39.6
                     80    96AME     1       12       80     K555-3     31.0
                     81    96AME     1        2       81     K556-3     28.9
                     82    96AME     1        5       82     K557-3     37.1
                     83    96AME     1        4       83     K546-4     32.9
                     84    96AME     1       12       84     K563-4     38.5
                     85    96AME     1       12       85     K567-3     33.4
                     86    96AME     1        4       86     K571-3       .
                     87    96AME     1        6       87     K573-3     39.0
                     88    96AME     1       11       88     K574-3     33.9
                     89    96AME     1        8       89     K491-1     33.4
                     90    96AME     1       11       90     K564-2     30.0
                     91    96AME     1        7       91     K528-4     38.8
                     92    96AME     1        6       92     K466-3     19.2
                     93    96AME     1        2       93     K575-3     26.2
                     94    96AME     1        8       94     K511-2     35.1
                     95    96AME     1        4       95     K557-2     26.1
                     96    96AME     2        2        1     K475-1     37.8
                     97    96AME     2       12        2     K478-1     27.3
                     98    96AME     2        6        3     K483-1     28.8
                     99    96AME     2        1        4     K489-1     33.9
                    100    96AME     2       10        5     K490-1     32.9
                                         The SAS System     11:42 Thursday, November 1, 2001   3

                    Obs     env     rep    block    entry     line     yield

                    101    96AME     2        5        6     K492-1     38.0
                    102    96AME     2        1        7     K493-1     42.8
                    103    96AME     2       12        8     K498-1     44.0
                    104    96AME     2        4        9     K499-1     43.1
                    105    96AME     2        4       10     K500-1     31.1
                    106    96AME     2        8       11     K505-1     27.5
                    107    96AME     2        7       12     K507-1       .
                    108    96AME     2       11       13     K510-1     33.2
                    109    96AME     2       12       14     K528-1     29.6
                    110    96AME     2        9       15     K530-1     38.0
                    111    96AME     2        1       16     K533-1     27.6
                    112    96AME     2       12       17     K535-1     35.0
                    113    96AME     2        7       18     K536-1     38.5
                    114    96AME     2        6       19     K538-1     22.0
                    115    96AME     2        8       20     K546-1     28.8
                    116    96AME     2        6       21     K551-1     46.4
                    117    96AME     2        8       22     K553-1     39.7
                    118    96AME     2        9       23     K555-1     23.4
                    119    96AME     2        2       24     K557-1     35.0
                    120    96AME     2       10       25     K567-1     29.0
                    121    96AME     2        8       26     K569-1     25.3
                    122    96AME     2       12       27     K571-1     35.0
                    123    96AME     2        5       28     K576-1     28.0
                    124    96AME     2       10       29     K577-1     36.0
                    125    96AME     2       10       30     K468-2     26.8
                    126    96AME     2       11       31     K480-2     35.2
                    127    96AME     2        4       32     K487-2     37.1
                    128    96AME     2        5       33     K490-2     33.6
                    129    96AME     2        5       34     K492-2     37.6
                    130    96AME     2        9       35     K494-2     28.1
                    131    96AME     2        9       36     K495-2     28.3
                    132    96AME     2        5       37     K497-2     27.4
                    133    96AME     2        3       38     K498-2     31.0
